#Pulse	Sensitivity	Posterior	NegPosterior	Jaccard
1755	0.6528	0.6480	0.9933	0.4819
2632	0.6768	0.7002	0.9938	0.5248
3510	0.6809	0.7135	0.9938	0.5347
4387	0.6947	0.7145	0.9941	0.5438
5265	0.6813	0.7086	0.9938	0.5322
6142	0.6779	0.7037	0.9938	0.5274
7020	0.6702	0.7068	0.9936	0.5244
7897	0.6554	0.7059	0.9934	0.5149
8775	0.6482	0.7116	0.9932	0.5133
9652	0.6470	0.7220	0.9932	0.5179
10529	0.6437	0.7333	0.9931	0.5216
11407	0.6408	0.7412	0.9931	0.5236
12285	0.6370	0.7486	0.9930	0.5247
13162	0.6251	0.7559	0.9928	0.5201
14040	0.6120	0.7606	0.9925	0.5132
14917	0.5973	0.7549	0.9923	0.5003
