#Cumulative Hit %	Tpos	Tneg	Fpos	Fneg	Post	Npost	Sens
0	4868	250646	6153	230	0.4417022049	0.9990832124	0.9548842683
0.01	4774	252511	4288	324	0.5268152726	0.9987185318	0.936445665
0.05	4716	253626	3173	382	0.5977943973	0.9984961104	0.9250686544
0.1	4664	254153	2646	434	0.6380300958	0.9982952782	0.9148685759
0.2	4574	254773	2026	524	0.693030303	0.9979474886	0.897214594
0.3	4420	255084	1715	678	0.7204563977	0.997349098	0.8670066693
0.4	4274	255281	1518	824	0.7379143646	0.9967825696	0.8383679874
0.5	4143	255446	1353	955	0.7538209607	0.9962753655	0.8126716359
0.6	3999	255601	1198	1099	0.7694823937	0.9957187378	0.7844252648
0.7	3819	255720	1079	1279	0.7797060024	0.9950233269	0.7491173009
0.8	3592	255851	948	1506	0.7911894273	0.9941482066	0.7045900353
0.9	3274	256026	773	1824	0.8089943168	0.9929261198	0.6422126324
1	1768	256564	235	3330	0.882675986	0.987187084	0.3468026677

