#%FlowsHit	TPos	TNeg	FPos	FNeg	Post
0	71	255423	1376	5027	0.0490670352
0.01	35	256051	748	5063	0.0446998723
0.02	19	256449	350	5079	0.0514905149
0.03	12	256556	243	5086	0.0470588235
0.04	11	256614	185	5087	0.056122449
0.05	14	256648	151	5084	0.0848484848
0.06	11	256676	123	5087	0.0820895522
0.07	12	256692	107	5086	0.1008403361
0.08	8	256702	97	5090	0.0761904762
0.09	6	256717	82	5092	0.0681818182
0.1	7	256708	91	5091	0.0714285714
0.11	9	256697	102	5089	0.0810810811
0.12	5	256729	70	5093	0.0666666667
0.13	7	256736	63	5091	0.1
0.14	11	256737	62	5087	0.1506849315
0.15	13	256738	61	5085	0.1756756757
0.16	4	256751	48	5094	0.0769230769
0.17	11	256743	56	5087	0.1641791045
0.18	14	256751	48	5084	0.2258064516
0.19	11	256764	35	5087	0.2391304348
0.2	7	256752	47	5091	0.1296296296
0.21	15	256770	29	5083	0.3409090909
0.22	15	256744	55	5083	0.2142857143
0.23	20	256775	24	5078	0.4545454545
0.24	12	256755	44	5086	0.2142857143
0.25	16	256770	29	5082	0.3555555556
0.26	20	256768	31	5078	0.3921568627
0.27	14	256775	24	5084	0.3684210526
0.28	20	256777	22	5078	0.4761904762
0.29	12	256776	23	5086	0.3428571429
0.3	18	256778	21	5080	0.4615384615
0.31	11	256777	22	5087	0.3333333333
0.32	14	256783	16	5084	0.4666666667
0.33	16	256782	17	5082	0.4848484848
0.34	14	256780	19	5084	0.4242424242
0.35	14	256782	17	5084	0.4516129032
0.36	19	256776	23	5079	0.4523809524
0.37	11	256782	17	5087	0.3928571429
0.38	14	256774	25	5084	0.358974359
0.39	16	256775	24	5082	0.4
0.4	9	256780	19	5089	0.3214285714
0.41	14	256785	14	5084	0.5
0.42	16	256789	10	5082	0.6153846154
0.43	7	256782	17	5091	0.2916666667
0.44	11	256781	18	5087	0.3793103448
0.45	13	256783	16	5085	0.4482758621
0.46	17	256785	14	5081	0.5483870968
0.47	17	256780	19	5081	0.4722222222
0.48	14	256785	14	5084	0.5
0.49	14	256779	20	5084	0.4117647059
0.5	14	256779	20	5084	0.4117647059
0.51	16	256784	15	5082	0.5161290323
0.52	9	256783	16	5089	0.36
0.53	12	256769	30	5086	0.2857142857
0.54	22	256783	16	5076	0.5789473684
0.55	12	256784	15	5086	0.4444444444
0.56	15	256784	15	5083	0.5
0.57	12	256788	11	5086	0.5217391304
0.58	17	256785	14	5081	0.5483870968
0.59	13	256790	9	5085	0.5909090909
0.6	15	256785	14	5083	0.5172413793
0.61	16	256785	14	5082	0.5333333333
0.62	18	256789	10	5080	0.6428571429
0.63	14	256788	11	5084	0.56
0.64	20	256785	14	5078	0.5882352941
0.65	26	256790	9	5072	0.7428571429
0.66	13	256790	9	5085	0.5909090909
0.67	22	256787	12	5076	0.6470588235
0.68	18	256785	14	5080	0.5625
0.69	16	256788	11	5082	0.5925925926
0.7	18	256787	12	5080	0.6
0.71	19	256791	8	5079	0.7037037037
0.72	32	256781	18	5066	0.64
0.73	12	256790	9	5086	0.5714285714
0.74	22	256788	11	5076	0.6666666667
0.75	20	256781	18	5078	0.5263157895
0.76	25	256788	11	5073	0.6944444444
0.77	24	256785	14	5074	0.6315789474
0.78	23	256785	14	5075	0.6216216216
0.79	28	256782	17	5070	0.6222222222
0.8	27	256788	11	5071	0.7105263158
0.81	29	256786	13	5069	0.6904761905
0.82	20	256779	20	5078	0.5
0.83	28	256781	18	5070	0.6086956522
0.84	24	256790	9	5074	0.7272727273
0.85	25	256783	16	5073	0.6097560976
0.86	37	256779	20	5061	0.649122807
0.87	40	256779	20	5058	0.6666666667
0.88	40	256782	17	5058	0.701754386
0.89	37	256771	28	5061	0.5692307692
0.9	42	256777	22	5056	0.65625
0.91	46	256775	24	5052	0.6571428571
0.92	46	256779	20	5052	0.696969697
0.93	60	256782	17	5038	0.7792207792
0.94	45	256762	37	5053	0.5487804878
0.95	60	256763	36	5038	0.625
0.96	84	256769	30	5014	0.7368421053
0.97	101	256749	50	4997	0.6688741722
0.98	125	256733	66	4973	0.6544502618
0.99	256	256681	118	4842	0.6844919786
1	2432	256437	362	2666	0.87043665
