agebin 5th Median 95th
1000.0 0.0 0.0 0.0
999.0 0.0 0.0 0.0
998.0 0.0 0.0 0.0
997.0 0.0 0.0 0.0
996.0 0.0 0.0 0.0
995.0 0.0 0.0 0.0
994.0 0.0 0.0 0.0
993.0 0.0 0.0 0.0
992.0 0.0 0.0 0.0
991.0 0.0 0.0 0.0
990.0 0.0 0.0 0.0
989.0 0.0 0.0 0.0
988.0 0.0 0.0 0.0
987.0 0.0 0.0 0.0
986.0 0.0 0.0 0.0
985.0 0.0 0.0 0.0
984.0 0.0 0.0 0.0
983.0 0.0 0.0 0.0
982.0 0.0 0.0 0.0
981.0 0.0 0.0 0.0
980.0 0.0 0.0 0.0
979.0 0.0 0.0 0.0
978.0 0.0 0.0 4.12504885659e-06
977.0 0.0 0.0 5.040706382e-06
976.0 0.0 0.0 5.90500223924e-06
975.0 0.0 0.0 6.80272772168e-06
974.0 0.0 0.0 7.49410685229e-06
973.0 0.0 0.0 8.36900107232e-06
972.0 0.0 0.0 9.32568903353e-06
971.0 0.0 0.0 1.02853584518e-05
970.0 0.0 0.0 1.14223849625e-05
969.0 0.0 0.0 1.27374916914e-05
968.0 0.0 0.0 1.44426649236e-05
967.0 0.0 0.0 1.58509521987e-05
966.0 0.0 0.0 1.79094076648e-05
965.0 0.0 0.0 2.00162023371e-05
964.0 0.0 0.0 2.30281823737e-05
963.0 0.0 0.0 2.61880794472e-05
962.0 0.0 0.0 3.02746036635e-05
961.0 0.0 0.0 3.34928099573e-05
960.0 0.0 0.0 3.93202461593e-05
959.0 0.0 0.0 4.64217059006e-05
958.0 0.0 0.0 5.10776997565e-05
957.0 0.0 0.0 5.44312058191e-05
956.0 0.0 0.0 5.77008011732e-05
955.0 0.0 0.0 5.99095759896e-05
954.0 0.0 0.0 6.25213573144e-05
953.0 0.0 0.0 6.52164373528e-05
952.0 0.0 0.0 6.72799752236e-05
951.0 0.0 0.0 6.94276908469e-05
950.0 0.0 0.0 7.16407572066e-05
949.0 0.0 0.0 7.33983418521e-05
948.0 0.0 0.0 7.55472875159e-05
947.0 0.0 0.0 7.7489773951e-05
946.0 0.0 0.0 7.9676067589e-05
945.0 0.0 0.0 8.11110224134e-05
944.0 0.0 0.0 8.31732342545e-05
943.0 0.0 0.0 8.49717521017e-05
942.0 0.0 0.0 8.66655727284e-05
941.0 0.0 0.0 8.85573699189e-05
940.0 0.0 0.0 9.11597525848e-05
939.0 0.0 0.0 9.34130201473e-05
938.0 0.0 0.0 9.4850184286e-05
937.0 0.0 0.0 9.68349973567e-05
936.0 0.0 0.0 9.92106491372e-05
935.0 0.0 0.0 0.000100529493236
934.0 0.0 0.0 0.000102292679248
933.0 0.0 0.0 0.000104290415273
932.0 0.0 0.0 0.000106173092261
931.0 0.0 0.0 0.000108295455216
930.0 0.0 0.0 0.000109385687658
929.0 0.0 0.0 0.000111549316326
928.0 0.0 0.0 0.000112860732966
927.0 0.0 0.0 0.000114288711502
926.0 0.0 0.0 0.000115837109046
925.0 0.0 0.0 0.000117382783908
924.0 0.0 0.0 0.000118870228082
923.0 0.0 0.0 0.000120351916736
922.0 0.0 0.0 0.000122667279756
921.0 0.0 0.0 0.000124100638248
920.0 0.0 0.0 0.000125695496464
919.0 0.0 0.0 0.000127298781988
918.0 0.0 0.0 0.000128880356829
917.0 0.0 0.0 0.00013040344159
916.0 0.0 0.0 0.000132478899027
915.0 0.0 0.0 0.000134487716989
914.0 0.0 0.0 0.000136405094225
913.0 0.0 0.0 0.000137762664006
912.0 0.0 0.0 0.000138962037781
911.0 0.0 0.0 0.000140338391289
910.0 0.0 0.0 0.000141972045503
909.0 0.0 0.0 0.000143756813009
908.0 0.0 0.0 0.00014499296281
907.0 0.0 0.0 0.000146929361651
906.0 0.0 0.0 0.000148492349228
905.0 0.0 0.0 0.000149513280057
904.0 0.0 0.0 0.000150901766443
903.0 0.0 0.0 0.000152827695723
902.0 0.0 0.0 0.000153754495698
901.0 0.0 0.0 0.000155160208836
900.0 0.0 0.0 0.000156903619282
899.0 0.0 0.0 0.000157992768487
898.0 0.0 0.0 0.000159753808045
897.0 0.0 0.0 0.000161069180326
896.0 0.0 0.0 0.000162175286067
895.0 0.0 0.0 0.000163917904521
894.0 0.0 0.0 0.00016565465501
893.0 0.0 0.0 0.000167927529581
892.0 0.0 0.0 0.000169409530628
891.0 0.0 0.0 0.00017096546571
890.0 0.0 0.0 0.000173188576231
889.0 0.0 0.0 0.000174638153463
888.0 0.0 0.0 0.000175897318258
887.0 0.0 0.0 0.000176323530537
886.0 0.0 0.0 0.000177445932674
885.0 0.0 0.0 0.000178463582062
884.0 0.0 0.0 0.000179301537007
883.0 0.0 0.0 0.00018046438043
882.0 0.0 0.0 0.000181572086276
881.0 0.0 0.0 0.000183126597821
880.0 0.0 0.0 0.000184285210292
879.0 0.0 0.0 0.000186214615176
878.0 0.0 0.0 0.000186959154825
877.0 0.0 0.0 0.000188186947611
876.0 0.0 0.0 0.000189495732357
875.0 0.0 0.0 0.000190285485635
874.0 0.0 0.0 0.000191289562203
873.0 0.0 0.0 0.000192086719059
872.0 0.0 0.0 0.000192543402798
871.0 0.0 0.0 0.00019391169528
870.0 0.0 0.0 0.000194349108398
869.0 0.0 0.0 0.000196341078914
868.0 0.0 0.0 0.000197476552048
867.0 0.0 0.0 0.000198170526539
866.0 0.0 0.0 0.000199281050879
865.0 0.0 0.0 0.000200655019307
864.0 0.0 0.0 0.000201791325284
863.0 0.0 0.0 0.000202662704464
862.0 0.0 0.0 0.000203469056638
861.0 0.0 0.0 0.000204437156899
860.0 0.0 0.0 0.000205137536332
859.0 0.0 0.0 0.000206667457346
858.0 0.0 0.0 0.000207284951933
857.0 0.0 0.0 0.000208444646494
856.0 0.0 0.0 0.00020893867555
855.0 0.0 0.0 0.000209734933348
854.0 0.0 0.0 0.000210393707394
853.0 0.0 0.0 0.000211001729276
852.0 0.0 0.0 0.00021163613497
851.0 0.0 0.0 0.000212113378598
850.0 0.0 0.0 0.000213513337015
849.0 0.0 0.0 0.000213949350382
848.0 0.0 0.0 0.00021453655293
